OBJECTID,SA_GUID_2016,SA_GUID_2022,SA_PUB2011,SA_PUB2016,SA_PUB2022,SA_GEOGID_2022,SA_CHANGE_CODE,SA_URBAN_AREA_FLAG,SA_URBAN_AREA_NAME,SA_NUTS1,SA_NUTS1_NAME,SA_NUTS2,SA_NUTS2_NAME,SA_NUTS3,SA_NUTS3_NAME,ED_GUID,ED_OFFICIAL,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_COUNT,COUNTY_CODE,COUNTY_ENGLISH,COUNTY_GAEILGE,CSO_LEA,Shape__Area,Shape__Length
15986,4c07d11e-1219-851d-e053-ca3ca8c0ca7f,4c07d11e-1219-851d-e053-ca3ca8c0ca7f,227075001,227075001,227075001,A227075001,0,0,,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1b22-13a3-e055-000000000001,Y,NEWTOWN,AN BAILE NUA,227075,1,25,WATERFORD,Port Láirge,PORTLAW-KILMACTHOMAS,13214078.7547913,22145.6777558235
15987,4c07d11e-121a-851d-e053-ca3ca8c0ca7f,4c07d11e-121a-851d-e053-ca3ca8c0ca7f,227023001,227023001,227023001,A227023001,0,0,,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1bee-13a3-e055-000000000001,Y,CLONEA,CLUAIN FHIA,227023,1,25,WATERFORD,Port Láirge,PORTLAW-KILMACTHOMAS,4061086.63894653,13676.3758603466
15988,4c07d11e-121b-851d-e053-ca3ca8c0ca7f,4c07d11e-121b-851d-e053-ca3ca8c0ca7f,227023002,227023002,227023002,A227023002,0,0,,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1bee-13a3-e055-000000000001,Y,CLONEA,CLUAIN FHIA,227023,1,25,WATERFORD,Port Láirge,PORTLAW-KILMACTHOMAS,14822267.0929565,21494.5733881203
15989,4c07d11e-121c-851d-e053-ca3ca8c0ca7f,4c07d11e-121c-851d-e053-ca3ca8c0ca7f,227075002,227075002,227075002,A227075002,0,0,,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1b22-13a3-e055-000000000001,Y,NEWTOWN,AN BAILE NUA,227075,1,25,WATERFORD,Port Láirge,PORTLAW-KILMACTHOMAS,8871923.33197021,22414.7192996494
15990,4c07d11e-0dc7-851d-e053-ca3ca8c0ca7f,4c07d11e-0dc7-851d-e053-ca3ca8c0ca7f,067020002,067020002,067020002,A067020002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-2068-13a3-e055-000000000001,Y,BALLINDUFF,BAILE AN DUIBH,067020,1,27,GALWAY,Gaillimh,TUAM,8784983.49090576,16987.4506307637
15991,4c07d11e-0dc8-851d-e053-ca3ca8c0ca7f,4c07d11e-0dc8-851d-e053-ca3ca8c0ca7f,067119002,067119002,067119002,A067119002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-2399-13a3-e055-000000000001,Y,KILCOONA,CILL CHUANNA,067119,1,27,GALWAY,Gaillimh,TUAM,8254499.3883667,14599.8961964738
15992,4c07d11e-0e2c-851d-e053-ca3ca8c0ca7f,4c07d11e-0e2c-851d-e053-ca3ca8c0ca7f,067056001,067056001,067056001,A067056001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-20f2-13a3-e055-000000000001,Y,CLARETUAM,BÉAL CHLÁIR THUAMA,067056,1,27,GALWAY,Gaillimh,TUAM,7717145.11212158,12554.9113519441
15993,4c07d11e-0e32-851d-e053-ca3ca8c0ca7f,4c07d11e-0e32-851d-e053-ca3ca8c0ca7f,067204001,067204001,067204001,A067204001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-2326-13a3-e055-000000000001,Y,STRADBALLY,AN SRÁIDBHAILE,067204,1,27,GALWAY,Gaillimh,ATHENRY-ORANMORE,6891617.61312866,18838.4036447488
15994,4c07d11e-0e33-851d-e053-ca3ca8c0ca7f,4c07d11e-0e33-851d-e053-ca3ca8c0ca7f,067204002,067204002,067204002,A067204002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-2326-13a3-e055-000000000001,Y,STRADBALLY,AN SRÁIDBHAILE,067204,1,27,GALWAY,Gaillimh,ATHENRY-ORANMORE,3559255.44494629,11012.8878283919
15995,4c07d11e-0e38-851d-e053-ca3ca8c0ca7f,4c07d11e-0e38-851d-e053-ca3ca8c0ca7f,067116001,067116001,067116001,A067116001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-238c-13a3-e055-000000000001,Y,KILCONICKNY,CILL CHONAICNE,067116,1,27,GALWAY,Gaillimh,LOUGHREA,4738676.32461548,11494.2274983348
