FID,cdo_1,twoway,bollardpro,Shape_Leng,Shape_Le_1,Shape__Len
384,TrafficFree,1,0,0.08099383,80.99382693,135.6508046
385,TrafficFree,1,0,0.23489498,234.8949815,392.6392129
386,TrafficFree,1,0,0.07324616,73.24616031,122.3902479
387,TrafficFree,1,0,0.15400697,154.006972,257.8075038
388,TrafficFree,1,0,0.06973288,69.73287692,116.9124425
389,TrafficFree,1,0,0.08500588,85.00588215,142.185145
390,TrafficFree,1,0,0.01488841,14.88840561,24.92880241
391,TrafficFree,1,0,0.10977188,109.7718829,183.6994052
392,TrafficFree,1,0,0.11180237,111.8023672,187.246087
393,TrafficFree,1,0,0.03551056,35.51056181,59.31478655
394,TrafficFree,1,0,0.02184033,21.84032967,36.61992505
395,TrafficFree,1,0,0.04237924,42.3792402,70.8890663
396,TrafficFree,1,0,0.03716566,37.16566197,62.17774676
397,Footway level Cycle Track,0,0,0.05209275,52.09275095,87.27448729
398,TrafficFree,1,0,0.37222582,372.225821,622.4710664
399,Footway level Cycle Track,0,0,0.08255584,82.5558369,138.336429
400,TrafficFree,1,0,0.14434035,144.3403542,241.5129266
401,TrafficFree,1,0,0.10936636,109.3663596,183.3520881
402,Footway level Cycle Track,1,0,0.12984181,129.8418096,217.5670234
403,TrafficFree,1,0,0.06308025,63.08024712,105.5529642
404,TrafficFree,1,0,0.0540535,54.05349765,90.65303665
405,TrafficFree,1,0,0.26232794,262.32794,438.4521625
406,TrafficFree,1,0,0.01984943,19.84943324,33.20067297
407,TrafficFree,1,0,0.00762702,7.627021711,12.77885952
408,TrafficFree,1,0,0.11589336,115.8933602,194.0838525
409,TrafficFree,1,0,0.01802191,18.02191243,30.13042172
410,TrafficFree,1,0,0.16734746,167.3474608,280.3177413
411,SegregatedCycleLane,0,1,0.25288316,252.8831579,423.5109219
412,SegregatedCycleLane,0,1,0.18556903,185.5690283,310.417914
413,SegregatedCycleLane,1,1,0.32597773,325.9777258,545.4346955
414,SegregatedCycleLane,0,0,0.30932003,309.3200285,517.5396705
415,SegregatedCycleLane,0,0,0.11876799,118.7679866,198.6702341
416,SegregatedCycleLane,0,0,0.21437952,214.379523,359.3219907
417,SegregatedCycleLane,0,0,0.1744705,174.4704964,292.5003177
418,SegregatedCycleLane,0,0,0.37915773,379.1577313,634.7584067
419,SegregatedCycleLane,0,0,0.35716991,357.1699055,597.958193
420,SegregatedCycleLane,0,1,0.18480555,184.8055468,309.4091758
421,SegregatedCycleLane,0,1,0.0688843,68.88430195,115.3278267
422,SegregatedCycleLane,0,1,0.20584384,205.8438434,344.6078724
423,SegregatedCycleLane,0,0,0.04594216,45.94216443,76.97005159
424,SegregatedCycleLane,0,0,0.14924697,149.2469732,250.0516237
425,SegregatedCycleLane,0,1,0.23070209,230.7020909,386.5149359
426,SegregatedCycleLane,0,0,1.99613729,1996.137293,3340.001631
427,TrafficFree,1,0,0.47727543,477.2754317,799.6392362
428,SegregatedCycleLane,0,0,0.41219409,412.1940854,689.4873397
429,SegregatedCycleLane,0,0,0.40875001,408.7500063,683.7310523
